pub_date,document_type,news_desk,section_name,subsection_name,abstract,headline,writer,key_subject,key_glocations,key_persons,key_organizations,word_count,web_url
2020-04-01,article,Washington,World,Africa,A report by Amnesty International challenges the American military’s claim that the February strikes hit only terrorists and no innocent bystanders.,Human Rights Group Says Two U.S. Strikes Killed Somali Civilians,Charlie Savage,"['Civilian Casualties', 'Terrorism', 'United States Defense and Military Forces']",['Somalia'],"['Trump, Donald J']","['AMNESTY INTERNATIONAL', 'United States Africa Command', 'Shabab']",954,https://www.nytimes.com/2020/03/31/world/africa/somalia-civilian-casualties.html
2020-04-01,article,Culture,U.S.,,"With coronavirus-related job losses, many workers are reluctantly seeking charity and unemployment benefits for the first time in their lives.",‘Never Thought I Would Need It’: Americans Put Pride Aside to Seek Aid,Cara Buckley,"['Unemployment', 'Food Banks and Pantries', 'Layoffs and Job Reductions', 'Philanthropy', 'Coronavirus (2019-nCoV)']",[],[],['GoFundMe'],1532,https://www.nytimes.com/2020/03/31/us/virus-food-banks-unemployment.html
2020-04-01,article,Express,U.S.,,The tunnel’s entrance was not far from a newly constructed portion of the border wall that President Trump visited last September in the Otay Mesa section of San Diego.,"$30 Million in Illegal Drugs Seized From Cross-Border Tunnel in San Diego, U.S. Says",Neil Vigdor,"['Drug Abuse and Traffic', 'Border Barriers', 'Smuggling', 'Immigration and Emigration', 'Organized Crime']","['California', 'Mexico', 'San Diego (Calif)', 'Tijuana (Mexico)']","['Trump, Donald J']","['Border Patrol (US)', 'Drug Enforcement Administration', 'Immigration and Customs Enforcement (US)']",599,https://www.nytimes.com/2020/03/31/us/drug-tunnel-san-diego-tijuana.html
2020-04-01,article,Culture,Arts,,Critics in Congress push to revoke the performing arts center’s piece of the stimulus package as it works to explain its response to the financial crisis.,"As Furloughs Grow, Kennedy Center Defends Use of $25 Million in Aid",Julia Jacobs,"['Finances', 'Art', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'United States Politics and Government']",[],[],"['Kennedy, John F, Center for the Performing Arts', 'National Symphony Orchestra']",648,https://www.nytimes.com/2020/03/31/arts/kennedy-center-defends-25-million.html
2020-04-01,article,Games,Crosswords & Games,,"Mad magazine editor in chief John Ficarra makes his New York Times Crossword debut, with the able assistance of Patrick Merrell.",Historic Town in Veszprém County,Deb Amlen,['Crossword Puzzles'],[],[],[],622,https://www.nytimes.com/2020/03/31/crosswords/daily-puzzle-2020-04-01.html
2020-04-01,article,Climate,Climate,,"The president said the measure,  announced Tuesday, would lift the economy, but outside analysts said the administration's rosy numbers did not represent an accurate accounting of its costs. ",Trump Calls New Fuel Economy Rule a Boon. Some Experts See Steep Costs.,Coral Davenport,"['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Fuel Efficiency', 'Regulation and Deregulation of Industry', 'United States Economy']",[],"['Trump, Donald J', 'Wheeler, Andrew R']","['Transportation Department (US)', 'Environmental Protection Agency']",821,https://www.nytimes.com/2020/03/31/climate/trump-pollution-rollback.html
2020-04-01,article,Magazine,Magazine,,"A quick purée, seasoned with lemon and garlic, is a kind of delicious all-purpose dip, sauce and spread.",This Broccoli-Dill Pasta Has a Hippie Twist. Your Kids Will Love It.,Tejal Rao,"['Cooking and Cookbooks', 'Vegetables', 'Broccoli', 'Recipes']",[],[],[],745,https://www.nytimes.com/2020/03/31/magazine/broccoli-dill-pasta-recipe.html
2020-04-01,article,Summary,Today’s Paper,,"Quotation of the Day for April 1, 2020.","Quotation of the Day: Cases Spiral Aboard an Aircraft Carrier, and a Commander Pleads for Help",,[],[],[],[],67,https://www.nytimes.com/2020/03/31/todayspaper/quotation-of-the-day-cases-spiral-aboard-an-aircraft-carrier-and-a-commander-pleads-for-help.html
2020-04-01,article,Corrections,Corrections,,"Corrections that appeared in print on Wednesday, April 1, 2020.","Corrections: April 1, 2020",,[],[],[],[],377,https://www.nytimes.com/2020/03/31/pageoneplus/corrections-april-1-2020.html
2020-04-01,article,Obits,Arts,Music,"Initially dismissed by some as a Miles Davis imitator, Mr. Roney, who has died of coronavirus complications, emerged as a major musician in his own right.","Wallace Roney, Jazz Trumpet Virtuoso, Is Dead at 59",Giovanni Russonello,"['Deaths (Obituaries)', 'Jazz', 'Coronavirus (2019-nCoV)']",[],"['Roney, Wallace', 'Davis, Miles']",[],1479,https://www.nytimes.com/2020/03/31/arts/music/wallace-roney-dead-coronavirus.html
2020-04-01,article,NYTNow,Briefing,,Here’s what you need to know.,"Coronavirus, Donald Trump, Asia: Your Wednesday Briefing",Isabella Kwai,[],[],[],[],1516,https://www.nytimes.com/2020/03/31/briefing/coronavirus-trump-asia.html
2020-04-01,article,Express,New York,,The cause of the three-alarm blaze remains under investigation.,Fire at Bronx Apartment Building Kills 4,Neil Vigdor,"['Fires and Firefighters', 'Deaths (Fatalities)']","['Bronx (NYC)', 'Grand Concourse (Bronx, NY)']",[],[],439,https://www.nytimes.com/2020/03/31/nyregion/bronx-fire-building.html
2020-04-01,article,Foreign,World,,"Florida’s governor belatedly directed residents to stay home, but only after a call with President Trump. States raised new concerns about medical supplies, and fears grew about a prolonged global downturn.","Coronavirus Spreads Amid Supply Shortages, Stay-at-Home Orders and Sobering Economics",,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Deaths (Fatalities)']",[],"['Trump, Donald J', 'Birx, Deborah L']",[],7034,https://www.nytimes.com/2020/04/01/world/coronavirus-live-news-updates.html
2020-04-01,article,Business,Business Day,,Live updates on stock market and business news during the coronavirus outbreak.,Retailers Under Pressure to Protect Workers,,"['United States Economy', ""Standard & Poor's 500-Stock Index"", 'Stocks and Bonds', 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'International Trade and World Market']",[],[],[],2091,https://www.nytimes.com/2020/04/01/business/stock-market-recap-coronavirus.html
2020-04-01,article,Culture,Arts,Television,A British thriller series is on Hulu. And “The Iliza Shlesinger Sketch Show” debuts on Netflix.,What’s on TV Wednesday: ‘Baghdad Central’ and a Sketch Comedy Show,Gabe Cohn,"['Television', 'Movies']",[],[],[],468,https://www.nytimes.com/2020/04/01/arts/television/whats-on-tv-wednesday-baghdad-central-and-a-sketch-comedy-show.html
2020-04-01,article,Learning,The Learning Network,,This word has appeared in eight articles on NYTimes.com in the past year.,Word + Quiz: limn,,[],[],[],[],259,https://www.nytimes.com/2020/04/01/learning/word-quiz-limn.html
2020-04-01,article,Culture,Arts,Television,“The Tonight Show” host said New Yorkers thought the flashing red-and-white light display “meant Target finally got a shipment of toilet paper.”,"Empire State Building Coronavirus Tribute Rang a False Alarm, Fallon Jokes",Trish Bendix,[],[],"['Colbert, Stephen', 'Fallon, Jimmy', 'Kimmel, Jimmy', 'Meyers, Seth', 'Noah, Trevor (1984- )', 'Trump, Donald J']",[],594,https://www.nytimes.com/2020/04/01/arts/television/empire-state-building-coronavirus.html
